country,group,manager,tenure_days,has_elite_pedigree
Mexico,A,Javier Aguirre,650,1
South Africa,A,Hugo Broos,1824,0
South Korea,A,Hong Myung-bo,664,0
Czech Republic,A,Miroslav Koubek,135,0
Canada,B,Jesse Marsch,720,1
Bosnia and Herzegovina,B,Sergej Barbarez,744,0
Qatar,B,Julen Lopetegui,367,1
Switzerland,B,Murat Yakin,1728,0
Brazil,C,Carlo Ancelotti,342,1
Morocco,C,Mohamed Ouahbi,59,0
Haiti,C,Sebastien Migne,1098,0
Scotland,C,Steve Clarke,2540,0
United States,D,Mauricio Pochettino,600,1
Paraguay,D,Gustavo Alfaro,625,0
Australia,D,Tony Popovic,584,0
Türkiye,D,Vincenzo Montella,949,0
Germany,E,Julian Nagelsmann,954,1
Curaçao,E,Fred Rutten,69,0
Ivory Coast,E,Emerse Faé,830,0
Ecuador,E,Sebastián Beccacece,639,0
Netherlands,F,Ronald Koeman,1196,1
Japan,F,Hajime Moriyasu,2838,0
Sweden,F,Graham Potter,195,1
Tunisia,F,Sabri Lamouchi,109,0
Belgium,G,Rudi Garcia,464,1
Egypt,G,Hossam Hassan,1391,0
Iran,G,Amir Ghalenoei,1147,0
New Zealand,G,Darren Bazeley,1030,0
Spain,H,Luis de la Fuente,1242,1
Cape Verde,H,Bubista,2287,0
Saudi Arabia,H,Georgios Donis,10,0
Uruguay,H,Marcelo Bielsa,1084,1
France,I,Didier Deschamps,5047,1
Senegal,I,Pape Thiaw,506,0
Iraq,I,Graham Arnold,359,0
Norway,I,Ståle Solbakken,1973,0
Argentina,J,Lionel Scaloni,2830,1
Algeria,J,Vladimir Petković,794,0
Austria,J,Ralf Rangnick,1440,1
Jordan,J,Jamal Sellami,700,0
Portugal,K,Roberto Martínez,1210,1
DR Congo,K,Sébastien Desabre,1364,0
Uzbekistan,K,Fabio Cannavaro,209,0
Colombia,K,Néstor Lorenzo,1431,0
England,L,Thomas Tuchel,487,1
Croatia,L,Zlatko Dalić,3130,0
Ghana,L,Carlos Queiroz,20,0
Panama,L,Thomas Christiansen,2110,0
