country,group,total_squad_value,avg_player_value,star_player_value,total_caps,total_goals,top_5_league_players
Czech Republic,A,237500000.0,9134615.38,22000000,505.0,85.0,10.0
Mexico,A,239500000.0,9211538.46,20000000,721.0,74.0,4.0
South Africa,A,37950000.0,1459615.38,10000000,220.0,40.0,2.0
South Korea,A,146000000.0,5615384.62,28000000,753.0,136.0,7.0
Bosnia and Herzegovina,B,0.0,0.0,0,0.0,0.0,0.0
Canada,B,213300000.0,8203846.15,45000000,758.0,122.0,10.0
Qatar,B,12725000.0,489423.08,4500000,1712.0,228.0,0.0
Switzerland,B,363500000.0,13980769.23,40000000,812.0,91.0,22.0
Brazil,C,1353000000.0,52038461.54,150000000,382.0,61.0,24.0
Haiti,C,54425000.0,2591666.67,18000000,350.0,107.0,5.0
Morocco,C,537000000.0,20653846.15,80000000,584.0,71.0,20.0
Scotland,C,249300000.0,9588461.54,45000000,716.0,74.0,16.0
Australia,D,62150000.0,2390384.62,10000000,489.0,39.0,8.0
Paraguay,D,175300000.0,6742307.69,25000000,470.0,30.0,5.0
Türkiye,D,516500000.0,19865384.62,90000000,742.0,100.0,12.0
United States,D,463500000.0,17826923.08,50000000,740.0,121.0,15.0
Curaçao,E,0.0,0.0,0,0.0,0.0,0.0
Ecuador,E,391800000.0,15069230.77,110000000,541.0,31.0,7.0
Germany,E,1228000000.0,47230769.23,120000000,486.0,77.0,25.0
Ivory Coast,E,0.0,0.0,0,0.0,0.0,0.0
Japan,F,336500000.0,12942307.69,30000000,645.0,119.0,16.0
Netherlands,F,1027000000.0,39500000.0,90000000,555.0,73.0,25.0
Sweden,F,549500000.0,21134615.38,100000000,475.0,63.0,23.0
Tunisia,F,82800000.0,3184615.38,16000000,848.0,69.0,10.0
Belgium,G,689000000.0,26500000.0,65000000,528.0,48.0,20.0
Egypt,G,122150000.0,4698076.92,60000000,833.0,151.0,6.0
Iran,G,38050000.0,1463461.54,8000000,966.0,171.0,0.0
New Zealand,G,30800000.0,1184615.38,6000000,597.0,91.0,5.0
Cape Verde,H,72750000.0,2798076.92,18000000,351.0,32.0,1.0
Saudi Arabia,H,41100000.0,1580769.23,5000000,641.0,74.0,1.0
Spain,H,1595000000.0,61346153.85,200000000,489.0,73.0,25.0
Uruguay,H,448500000.0,17250000.0,120000000,692.0,69.0,10.0
France,I,1765000000.0,67884615.38,200000000,540.0,88.0,26.0
Iraq,I,14950000.0,575000.0,3000000,555.0,53.0,1.0
Norway,I,630500000.0,24250000.0,200000000,614.0,115.0,17.0
Senegal,I,504000000.0,19384615.38,50000000,557.0,111.0,20.0
Algeria,J,316300000.0,12165384.62,40000000,744.0,108.0,12.0
Argentina,J,1049000000.0,40346153.85,90000000,429.0,75.0,24.0
Austria,J,320500000.0,12326923.08,32000000,596.0,72.0,19.0
Jordan,J,10800000.0,415384.62,8000000,785.0,100.0,2.0
Colombia,K,393500000.0,15134615.38,70000000,588.0,68.0,8.0
DR Congo,K,191500000.0,7365384.62,30000000,460.0,46.0,13.0
Portugal,K,1144000000.0,44000000.0,110000000,819.0,125.0,15.0
Uzbekistan,K,61950000.0,2382692.31,35000000,835.0,116.0,1.0
Croatia,L,393000000.0,15115384.62,70000000,662.0,61.0,17.0
England,L,1710000000.0,65769230.77,140000000,539.0,127.0,26.0
Ghana,L,317700000.0,12219230.77,75000000,368.0,36.0,16.0
Panama,L,29075000.0,1118269.23,8000000,1012.0,72.0,0.0
