country,squad_goalkeeper,squad_ball_playing_cb,squad_stopper_cb,squad_traditional_cb,squad_attacking_wing_back,squad_full_back,squad_holding_full_back,squad_deep_lying_playmaker,squad_box_to_box_dm,squad_midfield_playmaker,squad_box_to_box,squad_pressing_cm,squad_advanced_playmaker,squad_attacking_midfielder,squad_inside_forward,squad_traditional_winger,squad_wide_playmaker,squad_poacher,squad_false_nine,squad_target_forward,squad_data_limited,tactical_entropy,avg_versatility,formation,xi_goalkeeper,xi_ball_playing_cb,xi_stopper_cb,xi_traditional_cb,xi_attacking_wing_back,xi_full_back,xi_holding_full_back,xi_deep_lying_playmaker,xi_box_to_box_dm,xi_midfield_playmaker,xi_box_to_box,xi_pressing_cm,xi_advanced_playmaker,xi_attacking_midfielder,xi_inside_forward,xi_traditional_winger,xi_wide_playmaker,xi_poacher,xi_false_nine,xi_target_forward,xi_data_limited
Algeria,1,2,1,2,0,3,0,1,1,0,1,0,1,2,1,0,2,1,1,0,0,3.125,0.403,4-3-3,1,0,0,1,0,3,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0
Argentina,3,0,3,2,0,1,2,0,1,2,3,0,0,2,1,2,0,1,1,1,0,3.586,0.432,4-3-3,1,0,2,2,0,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0,0
Australia,3,2,1,1,0,3,1,1,2,1,3,0,0,0,1,1,1,0,1,0,0,3.275,0.393,4-4-2,1,1,1,0,0,0,1,1,1,0,3,0,0,0,0,0,1,0,1,0,0
Austria,3,0,3,4,0,0,2,1,1,0,5,0,1,1,0,1,0,1,0,0,0,2.961,0.401,4-2-3-1,1,0,2,2,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0
Belgium,3,0,2,3,0,1,3,2,1,2,1,0,0,3,3,0,0,1,0,0,0,3.374,0.498,4-3-3,1,0,1,2,0,1,0,1,0,1,1,0,0,1,2,0,0,0,0,0,0
Bosnia and Herzegovina,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.827,0.074,4-3-3,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Brazil,2,2,0,2,0,2,0,1,1,1,0,0,0,2,1,1,2,1,0,2,0,3.077,0.382,4-3-3,1,2,0,2,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,2,0
Canada,3,0,0,4,0,2,0,0,1,0,4,0,0,0,0,3,1,2,1,1,1,3.023,0.432,4-3-3,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,2,1,0,1,1,1
Cape Verde,2,0,1,0,0,0,3,0,1,0,1,0,0,0,0,3,1,0,1,0,0,1.908,0.238,4-2-3-1,2,0,1,0,0,0,3,0,1,0,0,0,0,0,0,2,1,0,1,0,0
Colombia,3,1,2,1,1,2,1,1,2,1,1,0,0,3,1,2,0,1,2,0,0,3.769,0.43,4-4-2,1,1,2,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0
Croatia,1,1,0,0,0,0,0,0,1,1,2,0,0,3,2,0,0,1,1,0,0,2.013,0.23,4-2-3-1,1,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0
Curaçao,2,1,0,3,0,2,2,0,2,1,2,0,0,0,0,2,2,0,0,0,0,2.714,0.346,5-3-2,1,1,0,2,0,1,1,0,0,0,2,0,0,0,0,2,1,0,0,0,0
Czech Republic,0,2,1,0,1,1,0,0,1,0,3,0,0,0,0,0,0,1,2,0,0,1.833,0.254,4-3-3,0,1,1,0,1,1,0,0,1,0,2,0,0,0,0,0,0,1,2,0,0
DR Congo,2,0,0,4,0,2,1,0,2,1,2,0,0,1,0,2,0,1,1,1,0,2.923,0.344,4-3-3,1,0,0,2,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0
Ecuador,3,2,1,2,0,1,1,1,1,1,0,1,0,2,2,0,2,1,0,2,2,3.798,0.467,4-3-3,1,2,1,0,0,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,1
Egypt,1,2,1,1,0,2,0,0,2,0,2,0,0,0,1,2,1,1,0,0,0,2.508,0.308,4-3-3,1,1,1,1,0,1,0,0,2,0,1,0,0,0,1,1,0,1,0,0,0
England,3,0,3,3,1,0,2,0,1,2,1,0,0,3,2,2,0,1,1,1,0,3.661,0.433,4-3-3,1,0,1,1,1,0,1,0,0,1,0,0,0,2,1,1,0,1,0,0,0
France,3,0,4,0,0,0,3,1,1,0,3,0,1,0,2,2,0,3,1,0,0,3.146,0.457,4-3-3,1,0,3,0,0,0,1,1,0,0,1,0,1,0,1,0,0,2,0,0,0
Germany,3,0,4,1,1,0,1,2,0,2,2,1,0,2,2,0,0,3,1,0,0,3.462,0.466,4-4-2,1,0,2,0,0,0,1,2,0,0,1,0,0,2,0,0,0,1,1,0,0
Ghana,2,0,3,1,1,0,2,1,1,0,2,0,0,0,0,3,4,0,0,2,1,3.177,0.427,4-3-3,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0
Haiti,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,2,0,1,1,2,2.377,0.232,4-3-3,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1
Iran,2,0,0,1,0,4,1,0,1,0,1,0,0,1,0,0,2,0,0,3,1,2.429,0.289,4-3-3,1,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,1,0,0,3,0
Iraq,2,1,0,2,0,2,1,0,2,0,3,0,0,1,0,2,2,0,2,2,0,3.179,0.428,4-4-2,1,1,0,1,0,2,0,0,1,0,3,0,0,0,0,0,1,0,0,1,0
Ivory Coast,3,1,0,4,0,0,2,1,1,0,2,1,0,0,3,2,2,2,0,1,0,3.462,0.454,4-3-3,1,1,0,3,0,0,0,1,0,0,2,0,0,0,1,1,0,1,0,0,0
Japan,2,0,2,0,0,1,1,1,0,0,1,0,0,1,1,1,1,2,1,0,0,2.481,0.275,4-2-3-1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0
Jordan,2,2,0,2,0,1,0,0,1,0,4,0,0,0,0,0,2,0,1,0,0,2.096,0.265,4-3-3,1,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0
Mexico,3,2,1,0,0,2,1,1,3,0,2,1,0,2,0,3,0,0,2,2,0,3.509,0.444,4-3-3,1,2,1,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,1,1,0
Morocco,1,1,0,2,1,4,0,0,1,0,3,1,0,2,0,2,3,0,0,1,0,3.073,0.467,4-2-3-1,1,1,0,0,1,2,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0
Netherlands,3,0,2,2,0,3,0,3,0,0,2,1,0,3,1,1,1,2,1,1,0,3.661,0.484,4-3-3,1,0,2,0,0,1,0,2,0,0,1,1,0,0,1,1,0,1,0,0,0
