country,group,full_elo,hot_elo,elo_volatility,elo_rank
Argentina,J,2015.8,1558.8,4.2,1
Spain,H,2011.8,1590.6,4.5,2
France,I,1963.8,1562.6,5.2,3
Brazil,C,1948.1,1531.5,4.2,4
England,L,1923.8,1574.4,4.8,5
Colombia,K,1911.3,1538.8,4.7,6
Portugal,K,1910.1,1556.4,6.4,7
Netherlands,F,1899.5,1556.2,3.0,8
Japan,F,1888.1,1558.9,3.3,9
Mexico,A,1880.0,1558.5,2.0,10
Germany,E,1874.8,1545.5,6.5,11
Uruguay,H,1869.3,1525.2,4.7,12
Morocco,C,1860.9,1611.9,7.1,13
Iran,G,1847.8,1541.8,3.7,14
Belgium,G,1839.4,1544.4,5.1,15
Ecuador,E,1839.1,1530.5,2.3,16
Croatia,L,1837.7,1544.7,2.2,17
Senegal,I,1836.9,1599.9,7.4,18
Australia,D,1832.7,1552.6,3.7,19
South Korea,A,1820.8,1534.6,4.6,20
Canada,B,1800.6,1538.0,3.9,21
Switzerland,B,1799.2,1541.0,4.5,22
Panama,L,1793.0,1559.5,4.2,23
United States,D,1792.9,1511.4,5.1,24
Algeria,J,1788.2,1588.7,8.1,25
Uzbekistan,K,1787.1,1539.9,3.3,26
Egypt,G,1762.8,1565.9,7.4,27
Ivory Coast,E,1754.0,1568.7,7.4,28
Türkiye,D,1752.8,1554.6,5.1,29
Jordan,J,1748.8,1543.9,3.7,30
Paraguay,D,1741.4,1509.8,4.5,31
Norway,I,1740.4,1565.2,7.0,32
Iraq,I,1729.8,1533.8,3.6,33
Tunisia,F,1723.8,1544.3,7.1,34
Austria,J,1720.4,1543.6,3.8,35
DR Congo,K,1708.4,1562.2,4.8,36
New Zealand,G,1708.2,1519.1,5.0,37
Haiti,C,1706.6,1540.0,6.6,38
Saudi Arabia,H,1698.3,1507.4,3.4,39
Sweden,F,1689.6,1510.0,7.8,40
Czech Republic,A,1674.8,1513.3,5.0,41
Scotland,C,1672.1,1509.8,5.4,42
South Africa,A,1663.8,1522.1,6.2,43
Ghana,L,1651.9,1517.1,4.8,44
Qatar,B,1649.5,1482.5,3.9,45
Cape Verde,H,1635.3,1521.8,3.4,46
Curaçao,E,1625.2,1531.1,7.8,47
Bosnia and Herzegovina,B,1575.7,1509.2,4.5,48
