player_name,country,player_id,club_team,age,general_position,specific_position,market_value,international_caps,international_goals,goals_per_90,assists_per_90,interceptions,tackles_won,crosses,wc_group,role,versatility
Matěj Kovář,Czech Republic,550829.0,PSV Eindhoven,26.1,GK,Goalkeeper,7000000.0,20,0,0.0,0.0,1.0,0.0,0.0,A,Goalkeeper,0.0
David Zima,Czech Republic,544149.0,Slavia Prague,25.6,DEF,Centre-Back,4000000.0,25,1,0.0,0.0,25.0,15.0,4.0,A,Stopper CB,0.814
Tomáš Holeš,Czech Republic,216278.0,Slavia Prague,33.2,DEF,Centre-Back,50000.0,41,2,0.0,0.0,5.0,4.0,2.8,A,Traditional CB,0.36
Robin Hranáč,Czech Republic,620217.0,TSG Hoffenheim,26.4,DEF,Centre-Back,7000000.0,14,1,0.04,0.0,19.0,14.0,6.0,A,Traditional CB,0.765
Vladimír Coufal,Czech Republic,157672.0,TSG Hoffenheim,33.8,DEF,Right-Back,2700000.0,62,2,0.03,0.25,37.0,33.0,191.0,A,Attacking Wing-Back,0.247
Štěpán Chaloupek,Czech Republic,944827.0,Slavia Prague,23.3,DEF,Centre-Back,50000.0,5,0,0.18,0.04,8.6,8.2,8.6,A,Traditional CB,0.38
Ladislav Krejčí,Czech Republic,345911.0,Wolverhampton Wanderers,27.1,DEF,Centre-Back,22000000.0,27,5,0.08,0.04,30.0,16.0,13.0,A,Stopper CB,0.577
Vladimír Darida,Czech Republic,179643.0,Hradec Králové,35.8,MID,Central Midfield,400000.0,79,8,0.07,0.07,6.69,7.91,40.34,A,Pressing CM,0.548
Adam Hložek,Czech Republic,552057.0,TSG Hoffenheim,23.9,ATT,Centre-Forward,15000000.0,43,5,0.0,0.0,0.0,0.0,0.0,A,Data-Limited,0.5
Patrik Schick,Czech Republic,242086.0,Bayer Leverkusen,30.4,ATT,Centre-Forward,25000000.0,53,26,0.8,0.15,3.0,2.0,0.0,A,Poacher,0.517
Jan Kuchta,Czech Republic,334802.0,Sparta Prague,29.4,ATT,Centre-Forward,4000000.0,31,3,0.0,0.47,6.0,8.0,13.0,A,Poacher,0.804
Lukáš Červ,Czech Republic,611049.0,Viktoria Plzeň,25.2,MID,Central Midfield,50000.0,17,2,0.15,0.0,13.4,20.2,33.8,A,Box-to-Box,0.97
Mojmír Chytil,Czech Republic,405855.0,Slavia Prague,27.1,ATT,Centre-Forward,50000.0,22,6,0.08,0.06,8.2,13.8,35.8,A,Target Forward,0.634
David Jurásek,Czech Republic,500054.0,Slavia Prague,25.8,DEF,Left-Back,4500000.0,18,1,0.0,0.0,6.0,6.0,38.0,A,Full-Back,0.439
Pavel Šulc,Czech Republic,500053.0,Lyon,25.4,ATT,Attacking Midfield,50000.0,21,5,0.69,0.19,6.0,12.0,13.0,A,Advanced Playmaker,0.604
Jindřich Staněk,Czech Republic,242089.0,Slavia Prague,30.1,GK,Goalkeeper,3500000.0,14,0,0.0,0.0,0.0,0.0,0.0,A,Goalkeeper,0.0
Lukáš Provod,Czech Republic,292779.0,Slavia Prague,29.6,MID,Left Winger,50000.0,38,3,0.07,0.03,2.2,7.0,19.4,A,Wide Playmaker,0.439
Michal Sadílek,Czech Republic,321204.0,Slavia Prague,27.0,MID,Central Midfield,7500000.0,35,1,0.45,0.13,7.0,2.0,17.0,A,Pressing CM,0.578
Tomáš Chorý,Czech Republic,198614.0,Slavia Prague,31.4,ATT,Centre-Forward,1800000.0,22,7,0.16,0.07,10.17,11.83,38.5,A,Target Forward,0.661
Jaroslav Zelený,Czech Republic,142219.0,Sparta Prague,33.8,DEF,Centre-Back,50000.0,23,0,0.04,0.1,9.33,10.0,43.67,A,Ball-Playing CB,0.336
